userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,5,9,3,2,5,2,0,7,4,0,2,0,1,0,1,5,6,1,1
2,19,12,6,8,32,9,0,39,10,0,4,2,4,4,22,5,21,5,2
3,16,10,4,5,18,10,3,25,5,0,4,4,2,2,10,7,11,6,1
4,62,62,24,41,88,38,2,56,37,1,18,1,24,11,28,43,44,4,1
5,12,20,10,14,55,10,3,39,14,0,4,5,10,6,37,7,12,4,0
6,15,15,4,5,16,7,0,20,8,0,3,2,2,3,5,12,9,3,0
7,35,32,12,14,37,11,0,29,13,0,2,2,8,2,15,25,16,5,2
8,31,22,3,6,32,30,1,58,11,2,7,2,1,13,23,13,33,6,0
9,8,6,3,2,14,9,0,28,5,0,2,0,1,2,16,4,10,3,0
10,21,13,0,0,12,7,0,15,2,0,7,0,1,4,7,8,16,1,1
11,13,11,0,3,10,12,6,19,1,1,2,6,0,5,2,4,15,2,2
12,14,10,4,5,28,4,1,25,5,0,8,0,3,3,9,13,10,0,2
13,12,20,8,13,22,8,0,28,11,0,1,5,3,4,10,6,8,5,3
14,7,8,5,8,12,0,0,3,4,0,0,0,2,0,2,7,2,0,0
15,473,318,76,79,623,293,89,770,143,22,95,86,33,154,293,269,484,68,20
16,6,4,0,0,11,6,0,14,1,0,0,0,0,2,12,5,8,2,1
17,76,42,5,5,75,108,4,195,23,22,53,1,5,87,57,73,172,14,4
18,16,10,0,0,15,8,0,23,2,0,1,0,0,3,13,8,23,0,0
19,99,70,17,26,122,70,3,209,33,9,40,3,22,39,92,53,117,27,12
20,24,32,13,15,42,11,0,46,10,0,2,4,5,4,21,14,15,11,2
21,50,47,8,17,44,18,0,64,19,2,15,1,18,11,26,38,38,18,7
22,104,68,15,20,69,43,0,57,37,1,35,6,9,33,23,67,83,5,3
23,135,114,18,24,197,132,9,460,54,20,35,15,23,74,167,67,161,60,15
24,11,10,2,1,5,7,0,9,0,0,1,1,1,1,4,3,12,2,1
25,8,6,1,1,12,6,0,10,4,0,1,0,1,2,4,6,11,0,0
26,73,44,15,11,61,73,1,80,14,1,3,10,0,22,17,27,67,9,2
27,1,1,0,0,5,7,0,16,0,0,3,0,0,3,5,1,10,2,0
28,9,8,0,1,15,9,0,32,2,3,1,0,1,7,18,5,13,7,0
29,8,5,0,1,5,2,0,9,6,0,7,4,0,2,4,6,9,1,0
30,165,104,21,51,358,181,8,565,59,11,59,3,41,90,186,80,275,42,24
31,21,14,5,5,23,19,1,34,12,0,0,6,2,5,7,11,15,5,1
32,21,16,3,6,16,8,0,19,6,0,0,3,3,1,8,7,13,3,4
33,16,21,1,5,91,18,6,38,9,0,17,0,4,10,23,6,24,1,0
34,60,41,3,4,36,34,4,92,11,6,33,2,7,23,17,50,61,23,10
35,4,2,1,1,7,5,0,12,2,0,1,0,2,0,6,3,7,1,0
36,15,11,3,6,40,20,1,61,4,0,5,0,3,3,27,7,29,4,3
37,6,6,7,8,15,3,0,15,2,0,0,2,4,0,16,2,3,2,0
38,23,20,5,4,24,27,2,84,8,0,1,7,4,12,19,11,17,12,1
39,25,12,2,2,15,18,1,19,4,0,16,2,2,8,4,9,29,2,2
40,21,16,3,3,9,10,0,20,6,0,1,6,1,9,4,15,18,2,1
41,96,69,5,15,37,8,0,55,20,1,27,2,19,11,16,124,60,4,1
42,44,36,5,6,9,15,0,24,12,0,2,16,1,6,7,27,26,6,0
43,17,19,7,14,79,7,0,39,10,0,9,0,6,4,27,10,12,5,1
44,10,8,1,1,8,2,0,8,2,0,0,0,0,3,6,4,12,0,0
45,2,2,0,0,8,2,0,12,3,1,2,0,1,1,8,2,4,1,0
46,15,12,3,7,17,13,0,14,8,0,1,7,0,3,2,5,7,2,0
47,19,15,3,5,11,10,0,11,4,0,2,2,2,3,5,8,17,3,1
