userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,5,19.5,6.0,5.0,10.0,5.0,0.0,18.0,8.5,0.0,6.0,0.0,3.0,0.0,3.5,12.0,17.0,2.0,3.0
2,19,45.0,22.0,28.0,99.0,33.0,0.0,141.0,34.0,0.0,14.0,8.0,15.0,16.0,79.0,19.0,70.0,19.0,10.0
3,16,33.0,11.5,13.5,65.0,37.0,11.0,98.0,15.0,0.0,13.5,11.5,5.0,7.5,36.5,22.0,39.0,25.0,4.0
4,62,269.0,113.0,190.0,381.0,158.0,8.0,250.0,169.0,5.0,71.0,5.0,116.0,45.0,126.0,183.0,177.0,19.0,3.0
5,12,76.5,39.0,54.5,219.0,34.5,11.0,148.5,52.5,0.0,15.5,20.0,42.5,20.0,151.0,28.0,43.5,16.0,0.0
6,15,56.0,14.0,16.0,46.5,24.5,0.0,71.0,29.5,0.0,10.0,7.5,6.0,8.5,14.5,33.0,24.5,12.5,0.0
7,35,117.0,49.0,53.0,131.0,40.0,0.0,102.0,43.0,0.0,5.0,6.0,28.0,5.0,44.0,84.0,48.0,18.0,5.0
8,31,85.0,10.5,21.0,121.5,126.0,3.0,218.5,38.5,7.0,27.0,8.0,3.5,56.0,85.5,52.5,134.5,24.5,0.0
9,8,19.0,10.0,6.0,52.0,35.0,0.0,112.0,18.0,0.0,8.0,0.0,4.0,7.0,62.0,17.0,36.0,11.0,0.0
10,21,51.0,0.0,0.0,43.0,25.0,0.0,61.0,9.0,0.0,24.0,0.0,3.0,15.0,27.0,31.0,56.0,4.0,2.0
11,13,47.0,0.0,10.5,37.0,51.5,23.5,78.5,4.0,4.0,4.0,26.5,0.0,22.0,9.0,18.5,60.5,9.0,10.0
12,14,26.0,6.0,7.0,76.0,13.0,5.0,69.0,10.0,0.0,30.0,0.0,8.0,10.0,26.0,34.0,35.0,0.0,5.0
